SKU,Name,Collection,Category,Gender,Color,Url
7573560500,,GIRLS          ,Dresses,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573560500-2.JPG
7573560200,,GIRLS          ,Dresses,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573560200-2.JPG
7573590700,,GIRLS          ,Dresses,GIRLS          ,Dark Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573590700-3.JPG
7573605700,,GIRLS          ,Dresses,GIRLS          ,Dark Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573605700-1.JPG
7573619400,,GIRLS          ,Dresses,GIRLS          ,Off White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573619400-2.JPG
7573629400,,GIRLS          ,Dresses,GIRLS          ,Off White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573629400-1.JPG
7592641199,,GIRLS          ,Tops,GIRLS          ,Light Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7592641199-1.JPG
7592650100,,GIRLS          ,Dresses,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7592650100-1.JPG
7592663900,,GIRLS          ,Tops,GIRLS          ,Pink Bazooka,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7592663900-2.JPG
7592671114,,GIRLS          ,Tops,GIRLS          ,Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7592671114-3.JPG
7715528200,,N.B BOYS       ,Tops,N.B BOYS       ,Mid Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7715528200-1.JPG
7715533800,,N.B GIRLS      ,Tops,N.B GIRLS      ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7715533800-5.JPG
7775128200,,N.B GIRLS      ,Tops,N.B GIRLS      ,Mid Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7775128200-1.JPG
7775130100,,N.B BOYS       ,Tops,N.B BOYS       ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7775130100-2.JPG
7818541400,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Mint,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818541400-1.JPG
7818543800,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818543800-1.JPG
7818570100,,N.B UNISEX     ,One-piece,N.B UNISEX     ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818570100-2.JPG
7818576700,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Light Yellow,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818576700-3.JPG
7818577400,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Light Turquoise,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818577400-1.JPG
7818575700,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Dark Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818575700-1.JPG
7818571000,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818571000-2.JPG
7818580500,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818580500-1.JPG
7818582599,,N.B UNISEX     ,One-piece,N.B UNISEX     ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7818582599-1.JPG
7819151000,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7819151000-2.JPG
7819156700,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Light Yellow,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7819156700-1.JPG
7819165700,,N.B BOYS       ,One-piece,N.B BOYS       ,Dark Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7819165700-1.JPG
7819167400,,N.B BOYS       ,One-piece,N.B BOYS       ,Light Turquoise,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7819167400-1.JPG
7850029956,,GIRLS          ,Tops,GIRLS          ,Silver,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7850029956-3.JPG
7870267600,,GIRLS          ,Dresses,GIRLS          ,Lemon,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7870267600-1.JPG
7870270200,,GIRLS          ,Dresses,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7870270200-2.JPG
7870282500,,GIRLS          ,Dresses,GIRLS          ,Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7870282500-1.JPG
7870290500,,GIRLS          ,Dresses,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7870290500-2.JPG
7875120500,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/787512-1.JPG
7875130500,,N.B BOYS       ,One-piece,N.B BOYS       ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875130500-1.JPG
7875140100,,N.B GIRLS      ,One-piece,N.B GIRLS      ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875140100-1.JPG
7875142599,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875142599-1.JPG
7875158200,,N.B BOYS       ,One-piece,N.B BOYS       ,Mid Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875158200-1.JPG
7875150800,,N.B BOYS       ,One-piece,N.B BOYS       ,Sky Blue,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875150800-1.JPG
7875161000,,N.B BOYS       ,One-piece,N.B BOYS       ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875161000-1.JPG
7875162499,,N.B BOYS       ,One-piece,N.B BOYS       ,Stone Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875162499-1.JPG
7875169996,,N.B BOYS       ,One-piece,N.B BOYS       ,Green,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875169996-1.JPG
7875166800,,N.B BOYS       ,One-piece,N.B BOYS       ,Yellow,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7875166800-2.JPG
7878532499,,N.B BOYS       ,One-piece,N.B BOYS       ,Stone Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7878532499-2.JPG
7878570100,,N.B GIRLS      ,One-piece,N.B GIRLS      ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7878570100-1.JPG
7878573800,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7878573800-2.JPG
7878581400,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Mint,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7878581400-1.JPG
7878586600,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Banana,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7878586600-1.JPG
7890170100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7890170100-1.JPG
7890171199,,GIRLS          ,Tops,GIRLS          ,Light Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7890171199-2.JPG
8102693701,,GIRLS          ,Bottoms,GIRLS          ,Light Smoke Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8102693701-2.JPG
8102699956,,GIRLS          ,Bottoms,GIRLS          ,Silver,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8102699956-4.JPG
8170060200,,GIRLS          ,Bottoms,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8170060200-1.JPG
8170062592,,GIRLS          ,Bottoms,GIRLS          ,Fuschia & Cerise,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8170062592-1.JPG
8192111199,,GIRLS          ,Bottoms,GIRLS          ,Light Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8192111199-1.JPG
8192120100,,GIRLS          ,Bottoms,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8192120100.JPG
8192140100,,GIRLS          ,Bottoms,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8192140100-1.JPG
